;Instant food products;hamburger meat;beef;root vegetables;liquor;bottled beer;herbs;rice;citrus fruit;other vegetables;tropical fruit;rolls/buns;soda;whole milk;yogurt;whipped/sour cream;berries;butter;bottled water;brown bread;domestic eggs;fruit/vegetable juice;butter milk;pip fruit;chicken;sausage;curd;onions;coffee;cream cheese ;pastry;dessert;frozen meals;frozen vegetables;grapes;hard cheese;hygiene articles;long life bakery product;margarine;oil;pork;sliced cheese;white bread;shopping bags;soft cheese;newspapers
Instant food products;0;11.421437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hamburger meat;0;0;0;0;0;0;0;0;0;3.050059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
beef;0;0;0;3.931903;0;0;0;0;0;3.031985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
root vegetables;0;0;0;0;0;0;0;0;5.428284;5.846213;4.331836;0;0;5.846213;3.636128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
liquor;0;0;0;0;0;5.240594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bottled beer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
herbs;0;0;0;4.949369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rice;0;0;0;3.792102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
citrus fruit;0;0;0;7.121984;0;0;0;0;0;9.596632;7.185261;0;0;7.185261;3.060651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
other vegetables;0;0;0;4.281405;0;0;0;0;5.428284;0;4.331836;0;0;7.185261;3.636128;4.814724;0;0;0;0;0;0;0;4.147164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tropical fruit;0;0;0;4.281405;0;0;0;0;5.428284;5.846213;0;0;0;5.846213;3.636128;4.270517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rolls/buns;0;0;0;3.143095;0;0;0;0;0;3.118715;3.120455;0;0;0;3.185941;0;0;0;3.193355;0;0;0;0;0;0;3.270794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
soda;0;0;0;4.472539;0;0;0;0;0;0;0;0;0;0;3.209717;0;0;0;3.193355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
whole milk;0;0;0;4.281405;0;0;0;0;5.428284;3.230097;4.331836;0;0;0;3.636128;4.814724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
yogurt;0;0;0;4.281405;0;0;0;0;0;5.846213;4.331836;0;0;5.846213;0;0;0;0;3.193355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
whipped/sour cream;0;0;0;3.086728;0;0;0;0;0;4.32325;3.829829;0;0;5.643549;5.643549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
berries;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.050991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
butter;0;0;0;3.328779;0;0;0;0;0;5.211481;3.418383;0;0;6.0105;6.0105;4.814724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bottled water;0;0;0;3.375502;0;0;0;0;0;0;3.611383;0;0;0;3.266598;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
brown bread;0;0;0;3.091388;0;0;0;0;0;4.142459;0;0;0;4.142459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
domestic eggs;0;0;0;3.411982;0;0;0;0;0;4.772418;0;0;0;4.772418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fruit/vegetable juice;0;0;0;3.473817;0;0;0;0;0;4.416509;3.142885;0;0;4.416509;3.47979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
butter milk;0;0;0;0;0;0;0;0;0;3.30762;0;0;0;0;0;0;0;0;0;0;0;0;0;4.147164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pip fruit;0;0;0;3.416015;0;0;0;0;0;5.286371;3.751185;0;0;5.286371;3.195537;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chicken;0;0;0;3.356503;0;0;0;0;0;3.025262;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sausage;0;0;0;3.413745;0;0;0;0;0;3.081016;3.435246;0;0;0;3.129851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
curd;0;0;0;0;0;0;0;0;0;4.101445;3.754258;0;0;6.892329;6.892329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
onions;0;0;0;4.516647;0;0;0;0;0;4.597943;0;0;0;4.597943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
coffee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.072157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cream cheese ;0;0;0;3.129267;0;0;0;0;0;3.115053;0;0;0;0;3.808195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pastry;0;0;0;0;0;0;0;0;0;0;3.17668;0;0;0;3.258349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dessert;0;0;0;0;0;0;0;0;0;3.082759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
frozen meals;0;0;0;0;0;0;0;0;0;0;3.438674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
frozen vegetables;0;0;0;3.669776;0;0;0;0;0;3.014757;0;0;0;4.454257;3.032771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
grapes;0;0;0;0;0;0;0;0;0;3.100893;3.854847;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hard cheese;0;0;0;3.354096;0;0;0;0;0;3.19486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hygiene articles;0;0;0;0;0;0;0;0;0;0;3.025409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
long life bakery product;0;0;0;0;0;0;0;0;0;3.279791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
margarine;0;0;0;3.226177;0;0;0;0;0;3.375122;0;0;0;0;3.316707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
oil;0;0;0;3.636715;0;0;0;0;0;3.180403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pork;0;0;0;3.394543;0;0;0;0;0;3.187029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sliced cheese;0;0;0;3.814093;0;0;0;0;0;3.476759;3.212373;0;0;0;3.043175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
white bread;0;0;0;0;0;0;0;0;0;3.158317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
shopping bags;0;0;0;0;0;0;0;0;0;0;3.314796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.270794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
soft cheese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.293574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
newspapers;0;0;0;3.356503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
